No. hidden,Best Acc,Worst Acc,Mean,STD,Mean Time,STD Time,Mean Epochs,STD Epochs
4,82.7586206896552,72.4137931034483,74.8275862068965,3.27132171741557,184.45597838,207.723843458473,13.8,5.00666222813829
7,75.8620689655172,68.9655172413793,72.0689655172414,1.95740073171567,95.98848702,174.000023170308,9.2,7.42069179165034
10,75.8620689655172,68.9655172413793,72.0689655172414,1.95740073171567,142.60235091,196.724034546975,13.1,8.97465567275115
12,75.8620689655172,68.9655172413793,72.4137931034483,1.6255328303139,53.7641549,130.70348483975,12.1,7.59312554588396
15,82.7586206896552,68.9655172413793,73.448275862069,3.652930708522,12.6499795,6.13462777469588,11.5,8.69546497383039
20,75.8620689655172,37.9310344827586,69.3103448275862,11.314689381448,151.50221174,196.92718008484,15.9,7.80953832751264
