No. hidden,Best Acc,Worst Acc,Mean,STD,Mean Time,STD Time,Mean Epochs,STD Epochs
4,82.7586206896552,65.5172413793103,74.1379310344828,5.20424433226288,0.23300557,0.0147713768258488,7.5,1.17851130197758
7,89.6551724137931,62.0689655172414,75.1724137931034,8.41517481274627,0.2598648,0.0318941902404393,8.2,1.75119007154183
10,89.6551724137931,65.5172413793103,75.5172413793103,6.59293351710344,0.28294293,0.0587471882090832,8.5,1.17851130197758
12,89.6551724137931,44.8275862068966,72.7586206896552,13.35016773171,0.29780707,0.06840826845573,7.7,1.63639169448448
15,86.2068965517241,68.9655172413793,74.1379310344827,4.66898758887124,0.35406393,0.123633950977482,7.5,1.58113883008419
20,93.1034482758621,72.4137931034483,78.6206896551724,6.0385864535925,0.45543161,0.134241056709202,12.2,8.84181982273886
