No. hidden,Best Acc,Worst Acc,Mean,STD,Mean Time,STD Time,Mean Epochs,STD Epochs
4,53.133514986376,18.9373297002725,43.7602179836512,9.65558973383072,235.91813776,291.97169718045,13.2,6.54556677793791
7,50.5449591280654,23.7057220708447,41.8392370572207,9.00247307657027,237.36169087,296.179029043357,9,6.53197264742181
10,48.6376021798365,39.1008174386921,44.7547683923706,3.40644865274397,124.17822212,244.20547278447,11.2,7.50999334220744
12,49.3188010899183,20.1634877384196,42.724795640327,9.87113398039937,189.23949807,276.169169699472,14.5,8.10006858681524
15,48.5013623978202,23.5694822888283,37.3024523160763,9.0002620997639,127.29574868,249.185440120813,10.5,7.05927286151579
20,49.1825613079019,20.4359673024523,39.9182561307902,8.98494218130153,126.9852144,251.858734910087,16.5,8.23609940040389
