No. hidden,Best Acc,Worst Acc,Mean,STD,Mean Time,STD Time,Mean Epochs,STD Epochs
4,68.7258687258687,66.7953667953668,68.5328185328185,0.610478312773819,11.55502676,5.67371372490179,13.1,7.57847829932456
7,69.1119691119691,61.003861003861,67.7992277992278,2.47023796427492,9.42818989,5.2538616900699,12.2,8.03879482399086
10,69.1119691119691,64.0926640926641,67.9150579150579,1.8241852911096,51.85994203,136.38420979217,12,8.09663853432741
12,69.8841698841699,67.1814671814672,68.7258687258687,0.656244467643859,137.75547723,208.916819148177,10.8,8.85437744847146
15,69.4980694980695,50.5791505791506,65.5598455598456,5.82373415221926,182.18327602,223.855216636589,11.8,8.45642425089417
20,68.7258687258687,39.3822393822394,64.980694980695,9.10602297099155,8.51367167,4.33469087511096,12.4,7.42667863553793
