No. hidden,Best Acc,Worst Acc,Mean,STD,Mean Time,STD Time,Mean Epochs,STD Epochs
4,46.4577656675749,46.4577656675749,46.4577656675749,0,0.4228782,0,11,0
7,46.866485013624,46.866485013624,46.866485013624,0,0.5604456,0,14,0
10,48.2288828337875,48.2288828337875,48.2288828337875,0,0.8399831,0,12,0
12,47.6839237057221,47.6839237057221,47.6839237057221,0,0.5109915,0,8,0
15,49.4550408719346,49.4550408719346,49.4550408719346,0,0.7391488,0,10,0
20,47.6839237057221,47.6839237057221,47.6839237057221,0,0.9069829,0,9,0
