No. hidden,Best Acc,Worst Acc,Mean,STD,Mean Time,STD Time,Mean Epochs,STD Epochs
4,49.3188010899183,49.3188010899183,49.3188010899183,0,0.4849019,0,9,0
7,48.6376021798365,48.6376021798365,48.6376021798365,0,0.4794763,0,8,0
10,45.6403269754768,45.6403269754768,45.6403269754768,0,0.6759924,0,13,0
12,47.5476839237057,47.5476839237057,47.5476839237057,0,0.8206397,0,12,0
15,47.1389645776567,47.1389645776567,47.1389645776567,0,0.9994347,0,14,0
20,47.0027247956403,47.0027247956403,47.0027247956403,0,1.3072548,0,11,0
