No. hidden,Best Acc,Worst Acc,Mean,STD,Mean Time,STD Time,Mean Epochs,STD Epochs
4,62.3430962343096,27.6150627615063,52.6359832635983,11.2786322652682,292.10628778,246.127356477736,14.3,6.97694616417368
7,60.6694560669456,25.5230125523013,47.9916317991632,12.7629161410351,151.92922673,229.801760041157,14.1,8.58228148894894
10,62.7615062761506,29.2887029288703,49.1213389121339,11.4996388447158,197.40430309,247.364349296864,16.8,4.13118223595458
12,59.8326359832636,37.6569037656904,51.2133891213389,8.45653056775302,196.13816084,244.910396701982,12.2,7.00476028616731
15,58.5774058577406,30.1255230125523,39.7489539748954,9.97966182426685,100.44924574,202.500122502642,12.5,7.86341740805697
20,58.5774058577406,18.4100418410042,36.5690376569038,12.6483232592298,53.34552688,151.395156611425,12.3,7.43938468184328
