No. hidden,Best Acc,Worst Acc,Mean,STD,Mean Time,STD Time,Mean Epochs,STD Epochs
4,89.6551724137931,58.6206896551724,77.5862068965517,9.92107844921383,155.24889141,233.374065051057,10.6,6.38052592746955
7,86.2068965517241,65.5172413793103,76.8965517241379,6.51228297665071,253.88604469,255.187732607006,12.9,6.48845127900333
10,86.2068965517241,62.0689655172414,75.5172413793103,6.79037033919169,204.0443092,251.731730936491,14.3,9.33392855244898
12,86.2068965517241,62.0689655172414,74.8275862068965,5.87220219514703,109.53548657,203.784474190734,11.3,9.41688790300584
15,93.1034482758621,68.9655172413793,79.6551724137931,8.36004438895089,111.38612444,204.882794409649,13.4,6.68663675633058
20,93.1034482758621,62.0689655172414,77.5862068965517,10.0533653359402,206.7110867,253.526478150023,15.4,8.08565258824405
