No. hidden,Best Acc,Worst Acc,Mean,STD,Mean Time,STD Time,Mean Epochs,STD Epochs
4,60.6694560669456,55.2301255230126,57.4058577405858,1.68291248301237,0.89338333,0.320274196190508,22.3,12.6231709346124
7,59.8326359832636,55.6485355648536,57.6987447698745,1.34427679330784,1.28720885,0.569280797671605,16.5,2.50554939639548
10,59.8326359832636,55.2301255230126,57.489539748954,1.28130366280121,1.35501289,0.835482916904812,15.1,3.63470921960906
12,60.6694560669456,56.0669456066946,57.9497907949791,1.2038128662226,1.42598841,0.552376690634638,15.6,3.74759181934805
15,61.5062761506276,56.9037656903766,59.0794979079498,1.5999587614728,2.31157049,1.1498999059335,14.1,2.7264140062238
20,62.7615062761506,55.6485355648536,59.1213389121339,1.75366558538353,1.8489948,0.5724434301398,13.8,2.04396129556745
