No. hidden,Best Acc,Worst Acc,Mean,STD,Mean Time,STD Time,Mean Epochs,STD Epochs
4,72.5868725868726,72.5868725868726,72.5868725868726,0,2.1866159,0,15,0
7,73.7451737451737,73.7451737451737,73.7451737451737,0,0.3365545,0,14,0
10,71.4285714285714,71.4285714285714,71.4285714285714,0,0.3995079,0,21,0
12,73.7451737451737,73.7451737451737,73.7451737451737,0,0.3008771,0,10,0
15,74.1312741312741,74.1312741312741,74.1312741312741,0,0.3563221,0,11,0
20,73.3590733590734,73.3590733590734,73.3590733590734,0,0.3881783,0,17,0
