No. hidden,Best Acc,Worst Acc,Mean,STD,Mean Time,STD Time,Mean Epochs,STD Epochs
4,68.7258687258687,68.7258687258687,68.7258687258687,0,0.27526769,0.225552547305971,11.5,2.63523138347365
7,68.7258687258687,68.7258687258687,68.7258687258687,0,0.17232435,0.0144378833163352,9.1,1.19721899973786
10,68.7258687258687,66.023166023166,68.4169884169884,0.849810760320161,0.19353328,0.0233210991637663,9.9,2.02484567313166
12,68.7258687258687,61.3899613899614,67.5289575289575,2.60248081391698,0.20491163,0.0253069245183584,9.6,2.27058484879019
15,68.7258687258687,45.1737451737452,65.0579150579151,7.50940712622071,0.30711091,0.0623050108018511,13.3,5.29255241930688
20,68.7258687258687,50.965250965251,65.0965250965251,7.07546442153047,0.2912437,0.0478573965000187,9.7,1.88856206322871
