No. hidden,Best Acc,Worst Acc,Mean,STD,Mean Time,STD Time,Mean Epochs,STD Epochs
4,51.4644351464435,36.4016736401674,45.6066945606695,4.61306427016492,51.20211806,140.6343582845,14,7.18021974284601
7,51.0460251046025,23.0125523012552,38.1171548117155,10.5840190532378,51.3089023,142.458598675219,8.2,5.6332347131407
10,52.7196652719665,33.4728033472803,45.1046025104603,5.98844677688118,100.4161988,189.177157358404,12.8,7.69992784958982
12,51.4644351464435,17.1548117154812,41.255230125523,9.76130690313451,96.07676265,191.127831781477,15.5,8.56673151726426
15,51.0460251046025,9.20502092050209,36.0251046025105,11.8565098655369,50.29014687,144.54888639537,10.5,7.15308791129165
20,51.4644351464435,10.0418410041841,37.2384937238494,12.1922640870373,51.36864208,145.131174701006,13.7,6.91295080908933
