No. hidden,Best Acc,Worst Acc,Mean,STD,Mean Time,STD Time,Mean Epochs,STD Epochs
4,61.9246861924686,61.9246861924686,61.9246861924686,0,0.2668369,0,8,0
7,55.6485355648536,55.6485355648536,55.6485355648536,0,0.2887945,0,10,0
10,61.9246861924686,61.9246861924686,61.9246861924686,0,0.3057947,0,9,0
12,60.2510460251046,60.2510460251046,60.2510460251046,0,0.43144,0,13,0
15,59.8326359832636,59.8326359832636,59.8326359832636,0,0.4828117,0,11,0
20,58.5774058577406,58.5774058577406,58.5774058577406,0,0.3811563,0,7,0
