No. hidden,Best Acc,Worst Acc,Mean,STD,Mean Time,STD Time,Mean Epochs,STD Epochs
4,49.591280653951,44.0054495912807,47.4659400544959,1.52955745213594,1.33988671,1.20781161023473,25,28.3431355593084
7,48.7738419618529,46.0490463215259,47.0980926430518,0.976226673245553,1.3928707,0.506834566292132,14.2,4.46716415140025
10,50,45.3678474114441,47.3297002724796,1.24898851668956,1.79706719,0.655527200234416,16.2,5.65292451352002
12,50.5449591280654,46.0490463215259,47.5340599455041,1.31377038957905,1.87848618,0.375130199865362,15,3.80058475033046
15,50,45.6403269754768,47.9564032697548,1.36391075546605,2.14339021,0.850821827014187,14.1,3.5418137224372
20,49.591280653951,45.6403269754768,47.6158038147139,1.24907107533834,2.66466095,0.653258081265626,16.2,3.76533899905145
