No. hidden,Best Acc,Worst Acc,Mean,STD,Mean Time,STD Time,Mean Epochs,STD Epochs
4,82.7586206896552,82.7586206896552,82.7586206896552,0,0.3253674,0,6,0
7,75.8620689655172,75.8620689655172,75.8620689655172,0,0.2497122,0,6,0
10,72.4137931034483,72.4137931034483,72.4137931034483,0,0.1372521,0,7,0
12,75.8620689655172,75.8620689655172,75.8620689655172,0,0.1473262,0,6,0
15,82.7586206896552,82.7586206896552,82.7586206896552,0,0.1743914,0,6,0
20,75.8620689655172,75.8620689655172,75.8620689655172,0,0.1757227,0,7,0
