No. hidden,Best Acc,Worst Acc,Mean,STD,Mean Time,STD Time,Mean Epochs,STD Epochs
4,73.3590733590734,61.003861003861,66.5637065637066,4.20280315302668,160.94130573,237.4708325867,12.8,7.94145242803019
7,72.972972972973,61.7760617760618,66.2162162162162,3.68203848157528,115.53585641,218.691623021329,13.1,6.13641227066399
10,71.8146718146718,59.4594594594595,67.992277992278,4.52633064814291,213.36329905,263.315762237474,14.2,7.92744879797053
12,72.5868725868726,58.3011583011583,68.4942084942085,4.7434335134268,267.92120596,268.017042644481,12.9,7.06242010770938
15,76.4478764478765,65.6370656370656,70.2702702702703,3.51989558074063,13.32736997,8.24640496771516,11.8,6.97296366132954
20,73.7451737451737,59.0733590733591,67.9536679536679,4.39469011041541,113.60926907,218.156303465694,11.4,8.73307887670017
