No. hidden,Best Acc,Worst Acc,Mean,STD,Mean Time,STD Time,Mean Epochs,STD Epochs
4,68.7258687258687,68.7258687258687,68.7258687258687,0,0.157278,0,9,0
7,68.7258687258687,68.7258687258687,68.7258687258687,0,0.1629176,0,7,0
10,69.1119691119691,69.1119691119691,69.1119691119691,0,0.16771,0,6,0
12,64.8648648648649,64.8648648648649,64.8648648648649,0,0.1940327,0,9,0
15,68.7258687258687,68.7258687258687,68.7258687258687,0,0.1964199,0,9,0
20,68.7258687258687,68.7258687258687,68.7258687258687,0,0.2325461,0,7,0
