No. hidden,Best Acc,Worst Acc,Mean,STD,Mean Time,STD Time,Mean Epochs,STD Epochs
4,49.3723849372385,45.1882845188285,48.2426778242678,1.50278535531949,0.49824341,0.0740057820667855,12.3,3.40098025084926
7,50.6276150627615,46.0251046025105,49.0794979079498,1.52845391272497,0.73388165,0.244972163207792,13.4,2.59058123036339
10,51.8828451882845,46.4435146443515,48.744769874477,1.60542042304342,0.82614411,0.347521829192532,11.7,1.88856206322871
12,50.6276150627615,47.2803347280335,48.7029288702929,1.28130366280121,1.18959856,1.36882472665211,12.5,2.87711275027201
15,51.8828451882845,43.9330543933054,48.326359832636,2.43374175266599,0.91090199,0.275017592074784,11,1.88561808316413
20,49.3723849372385,46.0251046025105,47.489539748954,1.17104990402696,1.5274779,0.92258281995663,11.1,2.07899548393502
