No. hidden,Best Acc,Worst Acc,Mean,STD,Mean Time,STD Time,Mean Epochs,STD Epochs
4,89.6551724137931,89.6551724137931,89.6551724137931,0,0.2168462,0,6,0
7,86.2068965517241,86.2068965517241,86.2068965517241,0,0.3306946,0,6,0
10,86.2068965517241,86.2068965517241,86.2068965517241,0,0.1777214,0,6,0
12,79.3103448275862,79.3103448275862,79.3103448275862,0,0.1793283,0,8,0
15,93.1034482758621,93.1034482758621,93.1034482758621,0,0.1996003,0,6,0
20,93.1034482758621,93.1034482758621,93.1034482758621,0,0.1743464,0,6,0
