No. hidden,Best Acc,Worst Acc,Mean,STD,Mean Time,STD Time,Mean Epochs,STD Epochs
4,49.7907949790795,49.7907949790795,49.7907949790795,0,0.278212,0,9,0
7,45.6066945606695,45.6066945606695,45.6066945606695,0,0.493281,0,12,0
10,52.7196652719665,52.7196652719665,52.7196652719665,0,0.2330773,0,8,0
12,45.6066945606695,45.6066945606695,45.6066945606695,0,0.2434426,0,8,0
15,48.9539748953975,48.9539748953975,48.9539748953975,0,0.2651269,0,7,0
20,51.4644351464435,51.4644351464435,51.4644351464435,0,0.3106267,0,6,0
